Fofunkcio;Funkcio;Fejezet;Cím;Alcim;Jogcim1;Jogcim2;Ecs;Ke;Nev;Működési kiadás;Működési bevétel;Felhalmozási kiadás;Felhalmozási bevétel;Kiadas;Bevetel
F01;F01.d;FJ33;3;0;0;0;1;5;Egyéb működési célú kiadások;117;;;;117;0
F01;F01.d;FJ33;3;0;0;0;2;0;Felhalmozási költségvetés;;;;;0;0
F01;F01.d;FJ33;3;0;0;0;2;6;Beruházások;;;1 521,90;;1521,9;0
F01;F01.d;FJ33;3;0;0;0;2;7;Felújítások;;;67,3;;67,3;0
F01;F01.d;FJ33;3;0;0;0;2;8;Egyéb felhalmozási célú kiadások;;;18,5;;18,5;0
F01;F01.d;FJ33;4;0;0;0;0;0;MTA Támogatott Kutatóhelyek;;421;;7,4;0;428,4
F01;F01.d;FJ33;4;0;0;0;1;0;Működési költségvetés;;;;;0;0
F01;F01.d;FJ33;4;0;0;0;1;1;Személyi juttatások;2 379,80;;;;2379,8;0
F01;F01.d;FJ33;4;0;0;0;1;2;Munkaadókat terhelő járulékok és szociális hozzájárulási adó;608,6;;;;608,6;0
F01;F01.d;FJ33;4;0;0;0;1;3;Dologi kiadások;470,8;;;;470,8;0
F01;F01.d;FJ33;4;0;0;0;2;0;Felhalmozási költségvetés;;;;;0;0
F01;F01.d;FJ33;4;0;0;0;2;6;Beruházások;;;12,6;;12,6;0
F01;F01.d;FJ33;5;0;0;0;0;0;MTA egyéb intézmények;;;;;0;0
F01;F01.d;FJ33;5;1;0;0;0;0;MTA Létesítménygazdálkodási Központ;;896,9;;;0;896,9
F01;F01.d;FJ33;5;1;0;0;1;0;Működési költségvetés;;;;;0;0
F01;F01.d;FJ33;5;1;0;0;1;1;Személyi juttatások;406,7;;;;406,7;0
F01;F01.d;FJ33;5;1;0;0;1;2;Munkaadókat terhelő járulékok és szociális hozzájárulási adó;109,4;;;;109,4;0
F01;F01.d;FJ33;5;1;0;0;1;3;Dologi kiadások;1 038,70;;;;1038,7;0
